Street Address,Unit #,Latitude,Longitude,Sold Price ($),Sold Date,SqFt,Price/SqFt ($),Property Type,Beds,Baths,Distance (mi),URL
1950 15th St,,37.76639,-122.42788,1685000.0,2025-11-17,1553.0,1085.0,CONDO,3.0,2.0,0.05,https://www.zillow.com/homedetails/1950-15th-St-San-Francisco-CA-94114/184817449_zpid/
66-70 Landers St,,37.76674,-122.428085,1400000.0,2025-05-27,4800.0,291.67,MULTI_FAMILY,6.0,7.0,0.06,https://www.zillow.com/homedetails/66-70-Landers-St-San-Francisco-CA-94114/332859030_zpid/
130 Landers St APT F,Apt F,37.765743,-122.4279,1433000.0,2025-10-03,1145.0,1251.53,CONDO,2.0,2.0,0.07,https://www.zillow.com/homedetails/130-Landers-St-APT-F-San-Francisco-CA-94114/15143463_zpid/
287 Church St,,37.76638,-122.42852,990000.0,2025-07-10,1330.0,744.36,SINGLE_FAMILY,2.0,2.0,0.08,https://www.zillow.com/homedetails/287-Church-St-San-Francisco-CA-94114/2064296656_zpid/
120D Landers St,,37.76555,-122.42812,1195000.0,2025-09-22,1145.0,1043.67,CONDO,2.0,2.0,0.09,https://www.zillow.com/homedetails/120D-Landers-St-San-Francisco-CA-94114/15143454_zpid/
120 Landers St APT D,Apt D,37.765553,-122.4281,1195000.0,2025-09-22,1145.0,1043.67,CONDO,2.0,2.0,0.09,https://www.zillow.com/homedetails/120-Landers-St-APT-D-San-Francisco-CA-94114/444392674_zpid/
287-291 Church St,,37.766365,-122.428566,1340000.0,2025-09-12,4425.0,302.82,MULTI_FAMILY,,3.0,0.09,https://www.zillow.com/homedetails/287-291-Church-St-San-Francisco-CA-94114/332859033_zpid/
8 Landers St Unit 301,Unit 301,37.767555,-122.42798,1575000.0,2025-09-03,1227.0,1283.62,CONDO,2.0,2.0,0.09,https://www.zillow.com/homedetails/8-Landers-St-UNIT-301-San-Francisco-CA-94114/79841578_zpid/
291 Church St,,37.766304,-122.4287,1340000.0,2025-09-12,1630.0,822.09,SINGLE_FAMILY,3.0,2.0,0.09,https://www.zillow.com/homedetails/291-Church-St-San-Francisco-CA-94114/2077456579_zpid/
289 Church St,,37.766323,-122.4287,1205000.0,2025-10-14,1504.0,801.2,SINGLE_FAMILY,3.0,2.0,0.09,https://www.zillow.com/homedetails/289-Church-St-San-Francisco-CA-94114/453587218_zpid/
8 Landers St Unit 204,Unit 204,37.767555,-122.42798,1500000.0,2025-06-13,1199.0,1251.04,CONDO,2.0,3.0,0.09,https://www.zillow.com/homedetails/8-Landers-St-UNIT-204-San-Francisco-CA-94114/79841441_zpid/
215-219 Church St,,37.76719,-122.42856,2105000.0,2025-05-16,5285.0,398.3,SINGLE_FAMILY,8.0,4.0,0.1,https://www.zillow.com/homedetails/215-219-Church-St-San-Francisco-CA-94114/241584689_zpid/
262 Church St,,37.76653,-122.42908,2700000.0,2025-08-11,11135.0,242.48,MULTI_FAMILY,12.0,0.0,0.11,https://www.zillow.com/homedetails/262-Church-St-San-Francisco-CA-94114/449962877_zpid/
215 Church St,,37.7672,-122.42879,2105000.0,2025-05-16,5285.0,398.3,MULTI_FAMILY,8.0,2.0,0.11,https://www.zillow.com/homedetails/215-Church-St-San-Francisco-CA-94114/2075615247_zpid/
